id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
469781,39,MissedShots,0.905,0.5940000152587891,0.046314600855112076,Gabriel,h,5613,FromCorner,2021,Head,16715,Arsenal,Manchester United,3,1,2022-04-23 11:30:00,Martin Odegaard,Cross
472302,53,Goal,0.9619999694824218,0.4209999847412109,0.29793399572372437,Gabriel,a,5613,FromCorner,2021,Head,16717,West Ham,Arsenal,1,2,2022-05-01 15:30:00,Gabriel Martinelli,Cross
474069,76,MissedShots,0.965,0.37900001525878907,0.011810899712145329,Gabriel,h,5613,FromCorner,2021,Head,16735,Arsenal,Leeds,2,1,2022-05-08 13:00:00,Cédric Soares,Aerial
477868,58,Goal,0.9180000305175782,0.575999984741211,0.4206239879131317,Gabriel,h,5613,FromCorner,2021,LeftFoot,16746,Arsenal,Everton,5,1,2022-05-22 15:00:00,Cédric Soares,Pass
481986,12,MissedShots,0.9259999847412109,0.52,0.052608098834753036,Gabriel,a,5613,FromCorner,2022,Head,18227,Bournemouth,Arsenal,0,3,2022-08-20 16:30:00,Bukayo Saka,Aerial
483838,85,Goal,0.9830000305175781,0.5320000076293945,0.8410509824752808,Gabriel,h,5613,FromCorner,2022,LeftFoot,18238,Arsenal,Fulham,2,1,2022-08-27 16:30:00,William Saliba,None
485151,11,SavedShot,0.785,0.37599998474121094,0.028963400050997734,Gabriel,h,5613,FromCorner,2022,RightFoot,18247,Arsenal,Aston Villa,2,1,2022-08-31 18:30:00,,Rebound
485150,11,BlockedShot,0.794000015258789,0.39799999237060546,0.03687170147895813,Gabriel,h,5613,FromCorner,2022,LeftFoot,18247,Arsenal,Aston Villa,2,1,2022-08-31 18:30:00,Bukayo Saka,Pass
485156,28,BlockedShot,0.9569999694824218,0.44299999237060544,0.06817509979009628,Gabriel,h,5613,FromCorner,2022,Head,18247,Arsenal,Aston Villa,2,1,2022-08-31 18:30:00,Bukayo Saka,Aerial
493727,11,SavedShot,0.92,0.48200000762939454,0.09924779832363129,Gabriel,a,5613,FromCorner,2022,Head,18305,Leeds,Arsenal,0,1,2022-10-16 13:00:00,Bukayo Saka,Cross
498423,62,Goal,0.9930000305175781,0.5220000076293946,0.8112289905548096,Gabriel,a,5613,FromCorner,2022,LeftFoot,18343,Chelsea,Arsenal,0,1,2022-11-06 12:00:00,Bukayo Saka,Cross
500348,14,MissedShots,0.9219999694824219,0.4759999847412109,0.046840500086545944,Gabriel,a,5613,FromCorner,2022,Head,18361,Wolverhampton Wanderers,Arsenal,0,2,2022-11-12 19:45:00,Bukayo Saka,Aerial
505091,65,MissedShots,0.9380000305175781,0.44599998474121094,0.051943399012088776,Gabriel,h,5613,FromCorner,2022,Head,18402,Arsenal,Manchester United,3,2,2023-01-22 16:30:00,Gabriel Martinelli,Aerial
509438,85,MissedShots,0.9309999847412109,0.5629999923706055,0.04789980128407478,Gabriel,a,5613,FromCorner,2022,Head,18432,Aston Villa,Arsenal,2,4,2023-02-18 12:30:00,,None
